species_id,formula,name,casno,charge,point_group,multiplicity,s_squared,closed_shell,n_electrons,n_atoms,geometry_source,geometry_method,xyz,cheapest_energy_method,cheapest_energy_basis,cheapest_energy,best_energy_method,best_energy_basis,best_energy
Al+_7429905,Al,Aluminum atom cation,7429905,1,Kh,1,0.0,1,12,1,single atom,,Al 0.000000 0.000000 0.000000,HF,STO-3G,-238.880053,CCSD(T)=FULL,aug-cc-pVQZ,-241.745426
Al-_7429905,Al,Aluminum atom anion,7429905,-1,Kh,1,0.0,1,14,1,single atom,,Al 0.000000 0.000000 0.000000,HF,STO-3G,-238.453148,CCSD(T)=FULL,aug-cc-pVQZ,-241.979815
Al2+_32752946,Al2,aluminum diatomic cation,32752946,1,D∞h,2,0.751,0,25,2,experimental,,"Al 0.000000 0.000000 0.000000
Al 0.000000 0.000000 2.701000",HF,6-31G*,-483.552185,MP4,cc-pVTZ,-483.690442
Al2-_32752946,Al2,aluminum diatomic anion,32752946,-1,D∞h,4,3.75,0,27,2,experimental,,"Al 0.000000 0.000000 0.000000
Al 0.000000 0.000000 2.701000",HF,6-31G*,-483.768284,MP4,cc-pVTZ,-483.960715
Al2Cl6_13845120,Al2Cl6,"Aluminum, di-μ-chlorotetrachlorodi-",13845120,0,D2h,1,0.0,1,128,8,experimental,,"Al 1.624800 0.000000 0.000000
Al -1.624800 0.000000 0.000000
Cl 0.000000 0.000000 1.541900
Cl 0.000000 0.000000 -1.541900
Cl 2.613800 1.784200 0.000000
Cl 2.613800 -1.784200 0.000000
Cl -2.613800 1.784200 0.000000
Cl -2.613800 -1.784200 0.000000",HF,STO-3G,-3206.12845,CCSD(T)=FULL,aug-cc-pVTZ,-3243.211908
Al2H6_12004307,Al2H6,dialane,12004307,0,D2h,1,0.0,1,32,8,calculated,CCSD(T)=FULL/cc-pCVTZ,"Al 1.298300 0.000000 0.000000
Al -1.298300 0.000000 0.000000
H 0.000000 0.000000 1.146000
H 0.000000 0.000000 -1.146000
H 1.985100 1.411000 0.000000
H 1.985100 -1.411000 0.000000
H -1.985100 1.411000 0.000000
H -1.985100 -1.411000 0.000000",HF,STO-3G,-481.510778,CCSD(T)=FULL,aug-cc-pVQZ,-487.753642
Al2_32752946,Al2,Aluminum diatomic,32752946,0,D∞h,3,2.001,0,26,2,experimental,,"Al 0.000000 0.000000 0.000000
Al 0.000000 0.000000 2.701000",HF,STO-3G,-477.817629,CCSD(T)=FULL,aug-cc-pVTZ,-484.048623
AlB_12250429,AlB,Boron Aluminum,12250429,0,C∞v,3,2.001,0,18,2,calculated,CCSD(T)=FULL/aug-cc-pV(T+d)Z,"B 0.000000 0.000000 -1.460100
Al 0.000000 0.000000 0.561600",HF,STO-3G,-263.121911,CCSD(T)=FULL,aug-cc-pVQZ,-266.669687
AlBr3_7727153,AlBr3,Aluminum Bromide,7727153,0,D3h,1,0.0,1,118,4,experimental,,"Al 0.000000 0.000000 0.000000
Br 2.211000 0.000000 0.000000
Br -1.106000 1.915000 0.000000
Br -1.106000 -1.915000 0.000000",,,,,,
AlBr_22359973,AlBr,Aluminum monobromide,22359973,0,C∞v,1,0.0,1,48,2,experimental,,"Al 0.000000 0.000000 0.000000
Br 0.000000 0.000000 2.294800",HF,STO-3G,-2783.719892,CCSD(T)=FULL,aug-cc-pVQZ,-2814.958261
